Display,Row,Column,Plane,Timepoint,Time [s],Field,Object ID,X,Y,Tracked Organoids Selected Selected - Age [s],Tracked Organoids Selected Selected - Current Displacement X [px],Tracked Organoids Selected Selected - Current Displacement Y [px],Tracked Organoids Selected Selected - Track Point X,Tracked Organoids Selected Selected - Track Point Y,Tracked Organoids Selected Selected - Region Area [µm_],Tracked Organoids Selected Selected - Region Roundness,Tracked Organoids Selected Selected - Region Symmetry 02,Tracked Organoids Selected Selected - Region Symmetry 03,Tracked Organoids Selected Selected - Region Symmetry 04,Tracked Organoids Selected Selected - Region Symmetry 05,Tracked Organoids Selected Selected - Region Symmetry 12,Tracked Organoids Selected Selected - Region Symmetry 13,Tracked Organoids Selected Selected - Region Symmetry 14,Tracked Organoids Selected Selected - Region Symmetry 15,Tracked Organoids Selected Selected - Region Threshold Compactness 30%,Tracked Organoids Selected Selected - Region Threshold Compactness 40%,Tracked Organoids Selected Selected - Region Threshold Compactness 50%,Tracked Organoids Selected Selected - Region Threshold Compactness 60%,Tracked Organoids Selected Selected - Region Axial Small Length,Tracked Organoids Selected Selected - Region Axial Length Ratio,Tracked Organoids Selected Selected - Region Radial Mean,Tracked Organoids Selected Selected - Region Radial Relative Deviation,Tracked Organoids Selected Selected - Region Profile 1/2,Tracked Organoids Selected Selected - Region Profile 2/2,Tracked Organoids Selected Selected - Region Brightfield SER Spot 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Hole 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Edge 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Ridge 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Valley 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Saddle 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Bright 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Dark 1 px,Tracked Organoids Selected Selected - Class,Tracked Organoids Selected Selected - Regression A-B,Tracked Organoids Selected Selected - Live,Tracked Organoids Selected Selected - Dead,Tracked Organoids Selected Selected - Number of Nuclei (DRAQ7+)- per Object,Tracked Organoids Selected Selected - Intensity Nucleus Mean Smoothed Mean,Tracked Organoids Selected Selected - Dead (DRAQ7+),Tracked Organoids Selected Selected - Live (DRAQ7-),Compound,Concentration,Cell Type,Cell Count
TRUE,B,3,1,0,0,1,33,487,598,0,0,0,486,598,936.2,0.9736,0.05597,0.04577,0.02708,0.03676,0.06882,0.05266,0.03301,0.04229,1.103,1.103,0.4476,0.5197,11.69,0.9192,11.48,0.3619,0.9731,1.03,0.005671,0.002687,0.03407,0.008073,0.01243,0.01113,0.01203,0.01346,A,-0.8077,1,0,1,148.9,1,0,Media,,13154,
TRUE,B,3,1,0,0,1,34,1066,609,0,0,0,1070,618,2021,0.6627,0.2833,0.1384,0.1172,0.1597,0.4454,0.2596,0.2211,0.2963,0.7827,0.7827,0.4445,0.2627,14.55,0.5014,20.46,0.5097,1.031,0.9714,0.004311,0.002662,0.03025,0.006491,0.009403,0.007538,0.00948,0.01069,A,-0.7498,1,0,1,138,1,0,Media,,13154,
TRUE,B,3,1,0,0,1,35,958,675,0,0,0,957,676,1329,0.8839,0.2171,0.1563,0.1437,0.08626,0.3213,0.2375,0.2154,0.1435,1.009,1.009,1.009,0.8959,12.26,0.6348,14.95,0.4127,1.016,0.9829,0.003971,0.002211,0.02618,0.006101,0.008972,0.007416,0.008787,0.009897,B,0.1462,0,1,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,36,71,706,0,0,0,73,708,2492,0.9362,0.03789,0.09511,0.06731,0.003747,0.03611,0.1433,0.1,0.005918,1.054,1.054,0.4133,0.2549,20,0.9653,19.14,0.3618,1.004,0.9976,0.003826,0.002384,0.02646,0.005945,0.008191,0.006841,0.008561,0.00936,A,-1.147,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,37,1136,700,0,0,0,1137,699,1065,0.8514,0.3383,0.05155,0.1077,0.02245,0.4882,0.06659,0.187,0.03893,0.979,0.979,0.979,0.5604,9.239,0.4955,13.48,0.4381,0.9919,1.01,0.004807,0.002423,0.02733,0.006526,0.01069,0.009002,0.009932,0.01166,A,-0.1263,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,38,839,710,0,0,0,840,710,1145,0.9715,0.09592,0.1203,0.05539,0.03174,0.139,0.1745,0.07667,0.0502,1.098,1.098,1.098,1.098,12.72,0.8352,13.14,0.3739,1.01,0.99,0.003358,0.001834,0.02053,0.005474,0.006401,0.005363,0.007729,0.007306,B,0.3084,0,1,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,39,1251,711,0,0,0,1250,711,892.8,0.9924,0.05123,0.02884,0.0165,0.0156,0.07532,0.04544,0.02203,0.02293,1.123,1.123,1.123,1.123,11.5,0.9064,11.39,0.3602,1.015,0.9825,0.002999,0.002263,0.02179,0.006367,0.007181,0.005111,0.00827,0.008406,A,-0.08763,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,40,329,761,0,0,0,321,755,1061,0.7401,0.3995,0.1768,0.1817,0.2209,0.572,0.2919,0.3012,0.3634,0.8678,0.8678,0.3791,0.8007,9.385,0.419,15.2,0.5267,0.9435,1.098,0.004438,0.001611,0.03028,0.004326,0.007757,0.007388,0.007607,0.00828,A,-1.086,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,41,1110,780,0,0,0,1109,780,1692,0.9267,0.03932,0.08192,0.02691,0.04731,0.06141,0.1195,0.04111,0.07272,1.049,1.049,1.049,0.35,15.89,0.9208,15.53,0.3735,0.9801,1.015,0.002725,0.002255,0.02411,0.006209,0.007489,0.005101,0.007863,0.008648,A,-1.45,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,42,1185,742,0,0,0,1174,753,1108,0.74,0.6123,0.0737,0.2271,0.04275,0.7264,0.08372,0.3142,0.05327,0.8671,0.8671,0.6463,0.4015,8.595,0.3512,16.83,0.433,0.9761,1.044,0.004142,0.002376,0.03418,0.005425,0.01029,0.008402,0.008327,0.01121,A,-2.173,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,43,1046,811,0,0,0,1046,811,1112,0.9749,0.01514,0.0145,0.006605,0.007616,0.02446,0.02519,0.01512,0.009969,1.102,1.102,0.3939,0.9879,12.95,0.9672,12.27,0.3897,0.9666,1.032,0.003054,0.00212,0.03051,0.006319,0.007575,0.007258,0.00823,0.00853,A,-1.681,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,44,907,838,0,0,0,909,833,2464,0.759,0.3575,0.07894,0.1494,0.03759,0.5112,0.08509,0.2561,0.07268,0.8771,0.8771,0.447,0.2448,14.14,0.4715,21.25,0.4663,0.9922,1.006,0.004114,0.002188,0.02436,0.005078,0.007992,0.007267,0.008047,0.008982,A,-0.4641,1,0,0,NaN,0,1,Media,,13154,
